Time,Conferencia,Vitórias,Derrotas
Celtics,East,64,18
Thunder,West,57,25
Nuggets,West,57,25
Knicks,East,50,32
Bucks,East,49,33
Timberwolves,West,56,26
Cavaliers,East,48,34
Clippers,West,51,31
Mavericks,West,50,32
Magic,East,47,35
Pacers,East,47,35
Suns,West,49,33
Pelicans,West,49,33
76ers,East,47,35
Lakers,West,47,35
Heat,East,46,36
Bulls,East,39,43
Kings,West,46,36
Hawks,East,36,46
Warriors,West,46,36
Rockets,West,41,41
Nets,East,32,50
Raptors,East,25,57
Jazz,West,31,51
Grizzlies,West,27,55
Hornets,East,21,61
Spurs,West,22,60
Wizards,East,15,67
Trail Blazers,West,21,61
Pistons,East,14,68
